Shallow Rock,Activity (pH = 8.5) High C and High H,,,,Glycine+,,,Glycine,,,Glycine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
°C,,,,,,,,,,,,,,,,,,
300,,,,,,-6,21.94836887,,-6,21.94836887,,-6,21.94836887,,,21.94836887,,
300,,,,,,-6,21.94836887,,-6,21.94836887,,-6,21.94836887,,,21.94836887,,
300,,,,,,-6,21.94836887,,-6,21.94836887,,-6,21.94836887,,,21.94836887,,
300,,,,,,-6,21.94836887,,-6,21.94836887,,-6,21.94836887,,,21.94836887,,
299.999,,,,,,-6,21.94833058,,-6,21.94833058,,-6,21.94833058,,,21.94833058,,
299.997,,,,,,-6,21.94825399,,-6,21.94825399,,-6,21.94825399,,,21.94825399,,
299.991,,,,,,-6,21.94802423,,-6,21.94802423,,-6,21.94802423,,,21.94802423,,
299.973,,,,,,-6,21.94733493,,-6,21.94733493,,-6,21.94733493,,,21.94733493,,
299.913,,,,,,-6,21.94503727,,-6,21.94503727,,-6,21.94503727,,,21.94503727,,
299.725,,,,,,-6,21.93783795,,-6,21.93783795,,-6,21.93783795,,,21.93783795,,
299.133,,,,,,-6,21.91516773,,-6,21.91516773,,-6,21.91516773,,,21.91516773,,
297.277,,,,,,-6,21.84409354,,-6,21.84409354,,-6,21.84409354,,,21.84409354,,
291.57,,,,,,-6,21.62554806,,-6,21.62554806,,-6,21.62554806,,,21.62554806,,
275,,,,,,-6,20.99101177,,-6,20.99101177,,-6,20.99101177,,,20.99101177,,
233.93,,,,,,-6,19.41826553,,-6,19.41826553,,-6,19.41826553,,,19.41826553,,
233.254,,,,,,-6,19.39237859,,-6,19.39237859,,-6,19.39237859,,,19.39237859,,
195.326,,,,,,-6,17.93995299,,-6,17.93995299,,-6,17.93995299,,,17.93995299,,
162.5,,,,,,-6,16.68290482,,-6,16.68290482,,-6,16.68290482,,,16.68290482,,
99.134,,,,,,-6,14.25634922,,-6,14.25634922,,-6,14.25634922,,,14.25634922,,
91.07,,,,,,-6,13.94754412,,-6,13.94754412,,-6,13.94754412,,,13.94754412,,
50,,,,,,-6,12.37479787,,-6,12.37479787,,-6,12.37479787,,,12.37479787,,
Shallow Rock,Activity (pH = 11) Low C and Low H,,,,Glycine+,,,Glycine,,,Glycine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,
300,,,,,,-6,21.94836887,,-6,21.94836887,,-6,21.94836887,,,21.94836887,,
300,,,,,,-6,21.94836887,,-6,21.94836887,,-6,21.94836887,,,21.94836887,,
300,,,,,,-6,21.94836887,,-6,21.94836887,,-6,21.94836887,,,21.94836887,,
300,,,,,,-6,21.94836887,,-6,21.94836887,,-6,21.94836887,,,21.94836887,,
299.999,,,,,,-6,21.94833058,,-6,21.94833058,,-6,21.94833058,,,21.94833058,,
299.997,,,,,,-6,21.94825399,,-6,21.94825399,,-6,21.94825399,,,21.94825399,,
299.991,,,,,,-6,21.94802423,,-6,21.94802423,,-6,21.94802423,,,21.94802423,,
299.973,,,,,,-6,21.94733493,,-6,21.94733493,,-6,21.94733493,,,21.94733493,,
299.913,,,,,,-6,21.94503727,,-6,21.94503727,,-6,21.94503727,,,21.94503727,,
299.725,,,,,,-6,21.93783795,,-6,21.93783795,,-6,21.93783795,,,21.93783795,,
299.133,,,,,,-6,21.91516773,,-6,21.91516773,,-6,21.91516773,,,21.91516773,,
297.277,,,,,,-6,21.84409354,,-6,21.84409354,,-6,21.84409354,,,21.84409354,,
291.57,,,,,,-6,21.62554806,,-6,21.62554806,,-6,21.62554806,,,21.62554806,,
275,,,,,,-6,20.99101177,,-6,20.99101177,,-6,20.99101177,,,20.99101177,,
233.93,,,,,,-6,19.41826553,,-6,19.41826553,,-6,19.41826553,,,19.41826553,,
233.254,,,,,,-6,19.39237859,,-6,19.39237859,,-6,19.39237859,,,19.39237859,,
195.326,,,,,,-6,17.93995299,,-6,17.93995299,,-6,17.93995299,,,17.93995299,,
162.5,,,,,,-6,16.68290482,,-6,16.68290482,,-6,16.68290482,,,16.68290482,,
99.134,,,,,,-6,14.25634922,,-6,14.25634922,,-6,14.25634922,,,14.25634922,,
91.07,,,,,,-6,13.94754412,,-6,13.94754412,,-6,13.94754412,,,13.94754412,,
50,,,,,,-6,12.37479787,,-6,12.37479787,,-6,12.37479787,,,12.37479787,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 8.5) High C and High H,,,,Glycine+,,,Glycine,,,Glycine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
°C,,,,,,,,,,,,,,,,,,
300,-9.82177,-0.69281,-3.32234,-8.54828,199.0602,11.27139,686.9430121,196.9764,1.44962,715.2489821,189.2754,-8.37215,723.0068891,3.0312,6.6537,722.8979188,,10.1906
300,-9.82177,-0.69281,-3.32234,-8.54828,199.0602,11.27139,686.9430121,196.9764,1.44962,715.2489821,189.2754,-8.37215,723.0068891,3.0312,6.6537,722.8979188,,10.1906
300,-9.82177,-0.69281,-3.32234,-8.54828,199.0602,11.27139,686.9430121,196.9764,1.44962,715.2489821,189.2754,-8.37215,723.0068891,3.0312,6.6537,722.8979188,,10.1906
300,-9.82177,-0.69281,-3.32234,-8.54828,199.0602,11.27139,686.9430121,196.9764,1.44962,715.2489821,189.2754,-8.37215,723.0068891,3.0312,6.6537,722.8979188,,10.1906
299.999,-9.82177,-0.69281,-3.32235,-8.54827,199.0604,11.2714,686.9425086,196.9767,1.44963,715.248795,189.2757,-8.37214,723.0066885,3.0312,6.6537,722.8977184,,10.1906
299.997,-9.82177,-0.69281,-3.32238,-8.54825,199.061,11.27144,686.94216,196.9773,1.44967,715.2483476,189.2763,-8.3721,723.006214,3.0312,6.6537,722.8972443,,10.1906
299.991,-9.82176,-0.69281,-3.32246,-8.5482,199.0628,11.27155,686.9411507,196.9791,1.44979,715.2470055,189.2781,-8.37197,723.0047541,3.0312,6.6538,722.8957613,,10.1906
299.973,-9.82173,-0.69281,-3.32271,-8.97424,199.0681,11.69809,685.3787275,196.9846,1.87636,713.6843151,189.2836,-7.94537,721.4417104,3.0311,6.6538,721.3327226,,10.1905
299.913,-9.82164,-0.69281,-3.3235,-8.54745,199.0858,11.27288,686.9269216,197.0029,1.45124,715.2314112,189.3017,-8.3704,722.9869337,3.0307,6.654,722.8779227,,10.1903
299.725,-9.82136,-0.69281,-3.32601,-8.54565,199.1413,11.2761,686.8927189,197.0603,1.45474,715.1938461,189.3584,-8.36662,722.9432411,3.0295,6.6544,722.8342173,,10.1897
299.133,-9.8205,-0.69281,-3.33394,-8.53997,199.3163,11.28628,686.7849044,197.2412,1.46578,715.0751945,189.5371,-8.35472,722.8054046,3.0259,6.656,722.696255,,10.1878
297.277,-9.818,-0.69281,-3.35904,-8.52218,199.8672,11.31869,686.4452149,197.8106,1.50069,714.7020061,190.0995,-8.31731,722.3725596,3.0146,6.6609,722.2630409,,10.1819
291.57,-9.81215,-0.69281,-3.43847,-8.46743,201.5846,11.4228,685.3921909,199.5818,1.61065,713.5391032,191.8479,-8.2015,721.0296524,2.981,6.6773,720.918649,,10.1663
275,-9.81025,-0.69282,-3.68776,-8.30901,206.7776,11.76299,682.2589958,204.9134,1.95274,710.0582673,197.1016,-7.85751,717.0498486,2.8913,6.7353,716.9316864,,10.1389
233.93,-9.89581,-0.69283,-4.41968,-7.93273,221.1402,12.85058,674.1038581,219.5523,2.95477,700.9913918,211.4767,-6.94104,706.8822787,2.7068,6.9407,706.7241298,,10.1757
233.254,-9.89827,-0.69283,-4.43308,-7.92686,221.3964,12.87151,673.9656022,219.8127,2.97324,700.8388171,211.7319,-6.92503,706.7129948,2.7042,6.9448,706.5538392,,10.1774
195.326,-10.09292,-0.69284,-5.25813,-7.62382,236.9858,14.2186,666.0721827,235.6153,4.12568,692.1521501,227.2011,-5.96724,697.1715098,2.5677,7.213,696.9250287,,10.3374
162.5,-10.36006,-0.69285,-6.09875,-7.41137,252.7206,15.68742,659.066997,251.5178,5.32736,684.5286132,242.7396,-5.0327,688.9269498,2.4698,7.5105,688.5182228,,10.5785
99.162,-11.19758,-0.69286,-8.13809,-7.14482,291.1229,19.49958,645.4413588,290.2151,8.302,669.8923138,280.4806,-2.89558,673.3689385,2.3382,8.3041,672.0161598,,11.3765
91.07,-11.34513,-0.69286,-8.45717,-7.11777,296.987,20.11069,643.6240915,296.1139,8.76556,667.9672749,286.2275,-2.57957,671.3582251,2.3283,8.4312,669.7967585,,11.5201
50,-12.2453,-0.69286,0,-7.07425,331.4616,3.15283,677.1257782,330.7481,-9.09247,700.9097272,319.9464,-21.33777,703.8871036,2.3143,9.2008,701.4042034,,12.4048
,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 8.5) Low C and Low H,,,,Glycine+,,,Glycine,,,Glycine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,
300,-9.82177,-0.69281,-3.32234,-8.54828,199.0602,11.27139,686.9430121,196.9764,1.44962,715.2489821,189.2754,-8.37215,723.0068891,3.0312,6.6537,722.8979188,,10.1906
300,-9.82177,-0.69281,-3.32234,-8.54828,199.0602,11.27139,686.9430121,196.9764,1.44962,715.2489821,189.2754,-8.37215,723.0068891,3.0312,6.6537,722.8979188,,10.1906
300,-9.82177,-0.69281,-3.32234,-8.54828,199.0602,11.27139,686.9430121,196.9764,1.44962,715.2489821,189.2754,-8.37215,723.0068891,3.0312,6.6537,722.8979188,,10.1906
300,-9.82177,-0.69281,-3.32234,-8.54828,199.0602,11.27139,686.9430121,196.9764,1.44962,715.2489821,189.2754,-8.37215,723.0068891,3.0312,6.6537,722.8979188,,10.1906
299.999,-9.82177,-0.69281,-3.32235,-8.54827,199.0604,11.2714,686.9425086,196.9767,1.44963,715.248795,189.2757,-8.37214,723.0066885,3.0312,6.6537,722.8977184,,10.1906
299.997,-9.82177,-0.69281,-3.32238,-8.54825,199.061,11.27144,686.94216,196.9773,1.44967,715.2483476,189.2763,-8.3721,723.006214,3.0312,6.6537,722.8972443,,10.1906
299.991,-9.82176,-0.69281,-3.32246,-8.5482,199.0628,11.27155,686.9411507,196.9791,1.44979,715.2470055,189.2781,-8.37197,723.0047541,3.0312,6.6538,722.8957613,,10.1906
299.973,-9.82173,-0.69281,-3.32271,-8.54801,199.0681,11.27186,686.9378296,196.9846,1.45013,715.2434172,189.2836,-8.3716,723.0008125,3.0311,6.6538,722.8918247,,10.1905
299.913,-9.82164,-0.69281,-3.3235,-8.54745,199.0858,11.27288,686.9269216,197.0029,1.45124,715.2314112,189.3017,-8.3704,722.9869337,3.0307,6.654,722.8779227,,10.1903
299.725,-9.82136,-0.69281,-3.32601,-8.54565,199.1413,11.2761,686.8927189,197.0603,1.45474,715.1938461,189.3584,-8.36662,722.9432411,3.0295,6.6544,722.8342173,,10.1897
299.133,-9.8205,-0.69281,-3.33394,-8.53997,199.3163,11.28628,686.7849044,197.2412,1.46578,715.0751945,189.5371,-8.35472,722.8054046,3.0259,6.656,722.696255,,10.1878
297.277,-9.818,-0.69281,-3.35904,-8.52218,199.8672,11.31869,686.4452149,197.8106,1.50069,714.7020061,190.0995,-8.31731,722.3725596,3.0146,6.6609,722.2630409,,10.1819
291.57,-9.81215,-0.69281,-3.43847,-8.46743,201.5846,11.4228,685.3921909,199.5818,1.61065,713.5391032,191.8479,-8.2015,721.0296524,2.981,6.6773,720.918649,,10.1663
275,-9.81025,-0.69282,-3.68776,-8.30901,206.7776,11.76299,682.2589958,204.9134,1.95274,710.0582673,197.1016,-7.85751,717.0498486,2.8913,6.7353,716.9316864,,10.1389
233.93,-9.89581,-0.69283,-4.41968,-7.93273,221.1402,12.85058,674.1038581,219.5523,2.95477,700.9913918,211.4767,-6.94104,706.8822787,2.7068,6.9407,706.7241298,,10.1757
233.254,-9.89827,-0.69283,-4.43308,-7.92686,221.3964,12.87151,673.9656022,219.8127,2.97324,700.8388171,211.7319,-6.92503,706.7129948,2.7042,6.9448,706.5538392,,10.1774
195.326,-10.09292,-0.69284,-5.25813,-7.62382,236.9858,14.2186,666.0721827,235.6153,4.12568,692.1521501,227.2011,-5.96724,697.1715098,2.5677,7.213,696.9250287,,10.3374
162.5,-10.36006,-0.69285,-6.09875,-7.41137,252.7206,15.68742,659.066997,251.5178,5.32736,684.5286132,242.7396,-5.0327,688.9269498,2.4698,7.5105,688.5182228,,10.5785
99.162,-11.19758,-0.69286,-8.13809,-7.14482,291.1229,19.49958,645.4413588,290.2151,8.302,669.8923138,280.4806,-2.89558,673.3689385,2.3382,8.3041,672.0161598,,11.3765
91.07,-11.34513,-0.69286,-8.45717,-7.11777,296.987,20.11069,643.6240915,296.1139,8.76556,667.9672749,286.2275,-2.57957,671.3582251,2.3283,8.4312,669.7967585,,11.5201
50,-12.2453,-0.69286,0,-7.07425,331.4616,3.15283,677.1257782,330.7481,-9.09247,700.9097272,319.9464,-21.33777,703.8871036,2.3143,9.2008,701.4042034,,12.4048
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 11) -High C and High H,,,,Glycine+,,,Glycine,,,Glycine-,,,,,,,
