Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,pH
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,,,,,
300,-10.19062,-0.70003,-3.32234,-8.97456,-8.2919,37.6674,-50.43658348,-10.1845,27.47678,-41.33018329,-13.743,17.28616,-34.05197248,-20.2061,7.09554,-29.96132328,1.893,3.5867,6.4349,-29.99623607,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,-8.2919,37.6674,-50.43658348,-10.1845,27.47678,-41.33018329,-13.743,17.28616,-34.05197248,-20.2061,7.09554,-29.96132328,1.893,3.5867,6.4349,-29.99623607,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,-8.2919,37.6674,-50.43658348,-10.1845,27.47678,-41.33018329,-13.743,17.28616,-34.05197248,-20.2061,7.09554,-29.96132328,1.893,3.5867,6.4349,-29.99623607,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,-8.2919,37.6674,-50.43658348,-10.1845,27.47678,-41.33018329,-13.743,17.28616,-34.05197248,-20.2061,7.09554,-29.96132328,1.893,3.5867,6.4349,-29.99623607,,10.1906
299.999,-10.19062,-0.70003,-3.32235,-8.97455,-8.2918,37.66743,-50.43641866,-10.1844,27.47681,-41.33003436,-13.7429,17.28619,-34.05183625,-20.2059,7.09557,-29.96108444,1.893,3.5867,6.4349,-29.99599811,,10.1906
299.997,-10.19061,-0.70003,-3.32238,-8.97453,-8.2915,37.66756,-50.43605611,-10.1841,27.47695,-41.32971455,-13.7426,17.28634,-34.05155281,-20.2056,7.09573,-29.96082626,1.893,3.5867,6.4349,-29.99573971,,10.1906
299.991,-10.19059,-0.70003,-3.32246,-8.97446,-8.2906,37.66785,-50.4348587,-10.1832,27.47726,-41.32863442,-13.7417,17.28667,-34.05057082,-20.2048,7.09608,-29.96001878,1.893,3.5867,6.4349,-29.99493074,,10.1906
299.973,-10.19053,-0.70002,-3.32271,-8.97424,-8.2879,37.66865,-50.43118975,-10.1805,27.47812,-41.32531731,-13.7391,17.28759,-34.04765786,-20.2022,7.09706,-29.95730013,1.893,3.5868,6.4349,-29.99221043,,10.1905
299.913,-10.19033,-0.70001,-3.3235,-8.97355,-8.279,37.67142,-50.41918398,-10.1715,27.48109,-41.31437455,-13.7304,17.29076,-34.03802562,-20.1936,7.10043,-29.94842528,1.892,3.587,6.4351,-29.98334506,,10.1903
299.725,-10.18971,-0.69996,-3.32601,-8.97137,-8.2512,37.68006,-50.38162693,-10.1433,27.49035,-41.28004575,-13.7031,17.30064,-34.00775119,-20.1668,7.11093,-29.92072101,1.892,3.5878,6.4357,-29.95566668,,10.1897
299.133,-10.18777,-0.6998,-3.33394,-8.96448,-8.1637,37.70731,-50.26354391,-10.0546,27.51954,-41.17217902,-13.6172,17.33177,-33.91259343,-20.0821,7.144,-29.83322741,1.891,3.59,6.4375,-29.86825117,,10.1878
297.277,-10.18194,-0.69931,-3.35904,-8.94296,-7.8893,37.79428,-49.89581974,-9.7769,27.61234,-40.8367028,-13.348,17.4304,-33.61631243,-19.8172,7.24846,-29.56124044,1.8875,3.5972,6.4431,-29.59650355,,10.1819
291.57,-10.16626,-0.69784,-3.43847,-8.87722,-7.0475,38.07462,-48.78952873,-8.9246,27.90836,-39.82664733,-12.5226,17.7421,-32.72453622,-19.0052,7.57584,-28.7414779,1.8771,3.6202,6.4604,-28.77750971,,10.1663
275,-10.13893,-0.6937,-3.68776,-8.69048,-4.6056,38.99607,-45.76215842,-6.4529,28.85714,-37.05967327,-10.1322,18.71821,-30.2799648,-16.6587,8.57928,-26.48853677,1.8473,3.6932,6.5126,-26.52717113,,10.1389
233.93,-10.17565,-0.68417,-4.41968,-8.26014,1.564,41.96455,-39.22543037,-0.2092,31.7889,-31.06738011,-4.1089,21.61325,-24.97397694,-10.7882,11.4376,-21.5793243,1.7732,3.9042,6.6748,-21.62934837,,10.1757
233.254,-10.17743,-0.68402,-4.43308,-8.25351,1.6681,42.02178,-39.12769201,-0.1039,31.84435,-30.97762797,-4.0075,21.66692,-24.89440364,-10.6899,11.48949,-21.50555639,1.772,3.908,6.678,-21.55585878,,10.1774
