Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 8.5) High C and High H,,,,Glutamine+,,,Glutamine,,,Glutamine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
°C,,,,,,,,,,,,,,,,,,
300,-10.19062,-0.70003,-3.32234,-8.97456,-3.2035,45.05171,-58.84017496,-6.3744,55.24233,-75.13259549,-12.8447,65.43295,-95.44815205,2.2852,7.356,-94.08757304,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,-3.2035,45.05171,-58.84017496,-6.3744,55.24233,-75.13259549,-12.8447,65.43295,-95.44815205,2.2852,7.356,-94.08757304,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,-3.2035,45.05171,-58.84017496,-6.3744,55.24233,-75.13259549,-12.8447,65.43295,-95.44815205,2.2852,7.356,-94.08757304,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,-3.2035,45.05171,-58.84017496,-6.3744,55.24233,-75.13259549,-12.8447,65.43295,-95.44815205,2.2852,7.356,-94.08757304,,10.1906
299.999,-10.19062,-0.70003,-3.32235,-8.97455,-3.2033,45.05174,-58.839865,-6.3743,55.24236,-75.13237905,-12.8445,65.43298,-95.44777822,2.2852,7.356,-94.08720975,,10.1906
299.997,-10.19061,-0.70003,-3.32238,-8.97453,-3.203,45.05184,-58.83941581,-6.374,55.24245,-75.13186081,-12.8442,65.43306,-95.4471769,2.2852,7.356,-94.086614,,10.1906
299.991,-10.19059,-0.70003,-3.32246,-8.97446,-3.2022,45.05208,-58.83811703,-6.3731,55.24267,-75.13024515,-12.8433,65.43326,-95.44532418,2.2852,7.356,-94.08477715,,10.1906
299.973,-10.19053,-0.70002,-3.32271,-8.97424,-3.2022,45.05274,-58.8370739,-6.3703,55.24327,-75.12520316,-12.8405,65.4338,-95.43957102,2.2851,7.3559,-94.07936388,,10.1905
299.913,-10.19033,-0.70001,-3.3235,-8.97355,-3.1908,45.05502,-58.81979545,-6.3612,55.24535,-75.10877977,-12.8314,65.43568,-95.4207771,2.2851,7.3555,-94.06189699,,10.1903
299.725,-10.18971,-0.69996,-3.32601,-8.97137,-3.1633,45.06214,-58.77566042,-6.3327,55.25185,-75.05732655,-12.8028,65.44156,-95.36178277,2.285,7.3545,-94.00632279,,10.1897
299.133,-10.18777,-0.6998,-3.33394,-8.96448,-3.0767,45.08463,-58.63686806,-6.2428,55.2724,-74.89532922,-12.7127,65.46017,-95.17619767,2.2848,7.3512,-93.83188155,,10.1878
297.277,-10.18194,-0.69931,-3.35904,-8.94296,-2.8054,45.15685,-58.20510419,-5.9613,55.33879,-74.39138333,-12.4306,65.52073,-94.59867467,2.2841,7.3411,-93.28802924,,10.1819
