Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,pH
,,,,,,-6,3.486694558,,-6,3.486694558,,-6,3.486694558,,-6,3.486694558,2.236,7.8325,8.6073,3.486694558,,
,,,,,,-6,3.486694558,,-6,3.486694558,,-6,3.486694558,,-6,3.486694558,2.285,7.6877,8.3096,3.486694558,,
,,,,,,-6,3.486694558,,-6,3.486694558,,-6,3.486694558,,-6,3.486694558,2.327,7.5961,8.0711,3.486694558,,
,,,,,,-6,3.486694558,,-6,3.486694558,,-6,3.486694558,,-6,3.486694558,2.360,7.5523,7.886,3.486694558,,
,,,,,,-6,3.486694558,,-6,3.486694558,,-6,3.486694558,,-6,3.486694558,2.384,7.5546,7.7515,3.486694558,,
,,,,,,-6,3.486694558,,-6,3.486694558,,-6,3.486694558,,-6,3.486694558,2.396,7.6053,7.6691,3.486694558,,
,,,,,,-6,3.486694558,,-6,3.486694558,,-6,3.486694558,,-6,3.486694558,2.397,7.7048,7.6488,3.486694558,,
,,,,,,-6,3.486694558,,-6,3.486694558,,-6,3.486694558,,-6,3.486694558,2.399,7.8365,7.7201,3.486694558,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 8.5) High C High H,,,,Glu+,,,Glu,,,Glu-,,,Glu2-,,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,pH
°C,,,,,,,,,,,,,,,,,,,,,,
300,-10.19062,-0.70003,-3.32234,-8.97456,2.1122,25.88653,-28.98932025,-1.594,15.69591,-21.08251792,-7.804,5.50529,-16.22873369,-15.4992,-4.68533,-13.18593376,3.452,6.4647,7.6952,-13.60759273,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,2.1122,25.88653,-28.98932025,-1.594,15.69591,-21.08251792,-7.804,5.50529,-16.22873369,-15.4992,-4.68533,-13.18593376,3.452,6.4647,7.6952,-13.60759273,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,2.1122,25.88653,-28.98932025,-1.594,15.69591,-21.08251792,-7.804,5.50529,-16.22873369,-15.4992,-4.68533,-13.18593376,3.452,6.4647,7.6952,-13.60759273,,10.1906
