Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
,,,,,,-6,5.230041837,,-6,5.230041837,,-6,5.230041837,,,5.230041837,,
,,,,,,-6,5.230041837,,-6,5.230041837,,-6,5.230041837,,,5.230041837,,
,,,,,,-6,5.230041837,,-6,5.230041837,,-6,5.230041837,,,5.230041837,,
,,,,,,-6,5.230041837,,-6,5.230041837,,-6,5.230041837,,,5.230041837,,
,,,,,,-6,5.230041837,,-6,5.230041837,,-6,5.230041837,,,5.230041837,,
,,,,,,-6,5.230041837,,-6,5.230041837,,-6,5.230041837,,,5.230041837,,
,,,,,,-6,5.230041837,,-6,5.230041837,,-6,5.230041837,,,5.230041837,,
,,,,,,-6,5.230041837,,-6,5.230041837,,-6,5.230041837,,,5.230041837,,
,,,,,,-6,5.230041837,,-6,5.230041837,,-6,5.230041837,,,5.230041837,,
,,,,,,-6,5.230041837,,-6,5.230041837,,-6,5.230041837,,,5.230041837,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 8.5) High C and High H,,,,Alanine+,,,Alanine,,,Alanine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
°C,,,,,,,,,,,,,,,,,,
300,-10.19062,-0.70003,-3.32234,-8.97456,1.7194,17.14176,-28.20797052,-1.2931,6.95114,-15.07896838,-7.6201,-3.23948,-8.012288638,3.03,6.3095,-8.057570866,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,1.7194,17.14176,-28.20797052,-1.2931,6.95114,-15.07896838,-7.6201,-3.23948,-8.012288638,3.03,6.3095,-8.057570866,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,1.7194,17.14176,-28.20797052,-1.2931,6.95114,-15.07896838,-7.6201,-3.23948,-8.012288638,3.03,6.3095,-8.057570866,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,1.7194,17.14176,-28.20797052,-1.2931,6.95114,-15.07896838,-7.6201,-3.23948,-8.012288638,3.03,6.3095,-8.057570866,,10.1906
299.999,-10.19062,-0.70003,-3.32235,-8.97455,1.7195,17.14178,-28.20777498,-1.293,6.95116,-15.07879575,-7.62,-3.23946,-8.012128337,3.03,6.3095,-8.057410485,,10.1906
299.997,-10.19061,-0.70003,-3.32238,-8.97453,1.7196,17.14185,-28.20762168,-1.2928,6.95124,-15.07852365,-7.6199,-3.23937,-8.012082088,3.03,6.3095,-8.05736279,,10.1906
299.991,-10.19059,-0.70003,-3.32246,-8.97446,1.7202,17.14202,-28.20653991,-1.2922,6.95143,-15.07761591,-7.6193,-3.23916,-8.011284903,3.0299,6.3096,-8.056575256,,10.1906
299.973,-10.19053,-0.70002,-3.32271,-8.97424,1.7219,17.14249,-28.20340446,-1.2905,6.95196,-15.07500252,-7.6178,-3.23857,-8.009368962,3.0298,6.3098,-8.054675571,,10.1905
299.913,-10.19033,-0.70001,-3.3235,-8.97355,1.7274,17.14411,-28.1933563,-1.2846,6.95378,-15.06596301,-7.6125,-3.23655,-8.002532154,3.0295,6.3104,-8.047886854,,10.1903
299.725,-10.18971,-0.69996,-3.32601,-8.97137,1.7449,17.14916,-28.16134663,-1.2663,6.95945,-15.03793087,-7.596,-3.23026,-7.981241386,3.0286,6.3123,-8.026750185,,10.1897
299.133,-10.18777,-0.6998,-3.33394,-8.96448,1.7998,17.1651,-28.06109389,-1.2086,6.97733,-14.94966908,-7.5441,-3.21044,-7.914407149,3.0255,6.3183,-7.9604048,,10.1878
297.277,-10.18194,-0.69931,-3.35904,-8.94296,1.9718,17.21594,-27.74953501,-1.0279,7.034,-14.67540814,-7.3811,-3.14794,-7.705795251,3.016,6.337,-7.753354944,,10.1819
291.57,-10.16626,-0.69784,-3.43847,-8.87722,2.501,17.37967,-26.81328276,-0.4727,7.21341,-13.85136177,-6.8787,-2.95285,-7.074888154,2.9874,6.3923,-7.127360646,,10.1663
275,-10.1389,-0.6937,-3.68776,-8.69048,4.0445,17.91596,-24.26466502,1.1434,7.77706,-11.60393626,-5.4053,-2.36184,-5.323775391,2.9098,6.5401,-5.391905175,,10.1389
233.93,-10.17565,-0.68417,-4.41968,-8.26014,7.9991,19.6242,-18.81160655,5.2592,9.44855,-6.779159225,-1.619,-0.7271,-1.443262586,2.7427,6.8754,-1.566977501,,10.1757
233.254,-10.17743,-0.68402,-4.43308,-8.25351,8.0664,19.65687,-18.73056519,5.3289,9.47944,-6.707403588,-1.5547,-0.69799,-1.384470389,2.7402,6.8809,-1.509420701,,10.1774
195.326,-10.33736,-0.67632,-5.25813,-7.91184,11.9944,21.74415,-14.57583806,9.3858,11.40679,-3.021372133,2.1792,1.06943,1.659101803,2.6093,7.2059,1.432809426,,10.3374
162.5,-10.57849,-0.6708,-6.09875,-7.67006,15.6804,23.99111,-11.55389866,13.1701,13.41262,-0.3371615065,5.6418,2.83413,3.903340949,2.5105,7.5281,3.494555717,,10.5785
99.134,-11.37652,-0.66395,-8.1392,-7.35753,23.7867,29.75883,-7.095064241,21.4213,18.38231,3.610408561,13.0791,7.00579,7.215269026,2.3654,8.3422,5.736733919,,11.3765
91.07,-11.52007,-0.66397,-8.45717,-7.32643,24.9321,30.68176,-6.682803043,22.5795,19.16169,3.972504647,14.1082,7.64162,7.51607582,2.3527,8.4712,5.803011908,,11.5201
50,-12.40484,-0.6643,0,-7.26458,31.2444,5.25038,26.80589529,28.9238,-7.15446,37.20509793,19.669,-19.5593,40.45352362,2.3206,9.2549,37.69085807,,12.4048
,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 8.5) Low C and Low H,,,,Alanine+,,,Alanine,,,Alanine-,,,,,,,
