Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,pH
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 8.5) High C High H,,,,Lys2+,,,Lys+,,,Lys,,,Lys-,,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,pH
°C,,,,,,,,,,,,,,,,,,,,,,
300,-10.19062,-0.70003,-3.32234,-8.97456,12.0034,41.68358,-23.2654121,9.5061,51.8742,-33.21109598,3.9852,62.06482,-45.52689014,-2.9155,72.25544,-58.92426856,2.497,5.5209,6.9006,-58.59489143,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,12.0034,41.68358,-23.2654121,9.5061,51.8742,-33.21109598,3.9852,62.06482,-45.52689014,-2.9155,72.25544,-58.92426856,2.497,5.5209,6.9006,-58.59489143,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,12.0034,41.68358,-23.2654121,9.5061,51.8742,-33.21109598,3.9852,62.06482,-45.52689014,-2.9155,72.25544,-58.92426856,2.497,5.5209,6.9006,-58.59489143,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,12.0034,41.68358,-23.2654121,9.5061,51.8742,-33.21109598,3.9852,62.06482,-45.52689014,-2.9155,72.25544,-58.92426856,2.497,5.5209,6.9006,-58.59489143,,10.1906
